Date,Hour,Kumamoto,Aso,Amakusa
2022/01/01,1,-0.1,-1.8,3.7
2022/01/01,2,-0.4,-3.5,3.5
2022/01/01,3,-1.5,-4.8,3.5
2022/01/01,4,-1.2,-5.1,3.5
2022/01/01,5,-1.9,-5.2,3.7
2022/01/01,6,-2.2,-6,3.8
2022/01/01,7,-2.2,-6.6,4.1
2022/01/01,8,-1.5,-5.9,4.7
2022/01/01,9,0.6,-3,6.4
2022/01/01,10,3.1,1.1,7.8
2022/01/01,11,6.1,3,9.1
2022/01/01,12,7.1,4.8,9
2022/01/01,13,8.9,6.1,10.2
2022/01/01,14,9.5,7.5,9.6
2022/01/01,15,10,6.5,10.1
2022/01/01,16,9.3,6,10.4
2022/01/01,17,8.3,4.1,9
2022/01/01,18,6.5,1.1,7.2
2022/01/01,19,4.7,-0.2,6.8
2022/01/01,20,3.7,-1.2,7.5
2022/01/01,21,3.3,-2.8,6.7
2022/01/01,22,2.4,-2.9,6.4
2022/01/01,23,2.6,-2.8,5.9
2022/01/01,24,1.9,-2.9,7.1
2022/01/02,1,1.4,-1.8,7.2
2022/01/02,2,1.5,-3.5,7.1
2022/01/02,3,1.3,-4.8,7.4
2022/01/02,4,1.7,-5.1,7.2
2022/01/02,5,1.5,-5.2,7.8
2022/01/02,6,1.6,-6,7.7
2022/01/02,7,1.3,-6.6,7.8
2022/01/02,8,1.5,-5.9,7.8
2022/01/02,9,4.2,-3,8.3
2022/01/02,10,7.3,1.1,8.9
2022/01/02,11,9.5,3,10.9
2022/01/02,12,10.3,4.8,12
2022/01/02,13,10.6,6.1,11.8
2022/01/02,14,9.7,7.5,11.8
2022/01/02,15,9.7,6.5,11.5
2022/01/02,16,10.7,6,11.7
2022/01/02,17,9.9,4.1,10.5
2022/01/02,18,7.9,1.1,9.4
2022/01/02,19,6.9,-0.2,8.5
2022/01/02,20,6,-1.2,8.5
2022/01/02,21,5.3,-2.8,8.2
2022/01/02,22,3.9,-2.9,8.3
2022/01/02,23,3.1,-2.8,7.6
2022/01/02,24,2.4,-2.9,7.8
2022/01/03,1,1.7,-3.7,7.3
2022/01/03,2,1.4,-4.8,7.2
2022/01/03,3,0.5,-4.8,7.1
2022/01/03,4,0.5,-4.7,6.8
2022/01/03,5,0,-5.4,7.5
2022/01/03,6,0.9,-5.7,7.4
2022/01/03,7,-0.3,-5.2,7.4
2022/01/03,8,0,-4.5,8
2022/01/03,9,2.8,-3,9.2
2022/01/03,10,6,0.6,10.9
2022/01/03,11,8.3,5.6,12.2
2022/01/03,12,10.5,7.7,11.8
2022/01/03,13,11.6,8.1,12.7
2022/01/03,14,11.9,8.8,13.3
2022/01/03,15,12.3,8.8,12.9
2022/01/03,16,11.9,7.5,11.7
2022/01/03,17,10.5,6.1,10.9
2022/01/03,18,8.8,2.9,10
2022/01/03,19,8.1,1.5,8.9
2022/01/03,20,7.7,1.3,10
2022/01/03,21,6.5,0.9,8.1
2022/01/03,22,5.6,1.2,7.7
2022/01/03,23,4.5,1.8,7.9
2022/01/03,24,3.8,0.6,7.4
2022/01/04,1,2.4,1.1,8.8
2022/01/04,2,2,-0.7,8.5
2022/01/04,3,0.8,-2.2,7.7
2022/01/04,4,0.6,-3.6,7.5
2022/01/04,5,0.2,-3.1,7.7
2022/01/04,6,0.1,-4,6.4
2022/01/04,7,0,-4.2,6.7
2022/01/04,8,0.1,-3,6.8
2022/01/04,9,2.3,0.1,9.4
2022/01/04,10,5.2,5.1,10.5
2022/01/04,11,8.4,6.1,11.3
