hizuke,hajimene,takane,yasune,owarine,zenjitsuhi,zenjitsuhi-pct,baibaidaka-kabu
"""2023/11/1""","3,749.00","3,789.00","3,738.00","3,782.00",64,1.7,"1,462,200"
"""2023/11/2""","3,782.00","3,807.00","3,756.00","3,771.00",-11,-0.3,"987,300"
"""2023/11/3""","3,785.00","3,787.00","3,700.00","3,705.00",-66,-1.8,"1,060,700"
"""2023/11/4""","3,724.00","3,741.00","3,676.00","3,678.00",-27,-0.7,"704,000"
"""2023/11/5""","3,389.00","3,438.00","3,315.00","3,359.00",-319,-8.7,"3,442,300"
"""2023/11/6""","3,388.00","3,455.00","3,349.00","3,350.00",-9,-0.3,"2,169,300"
"""2023/11/7""","3,300.00","3,355.00","3,269.00","3,355.00",5,0.1,"1,869,300"
"""2023/11/8""","3,360.00","3,379.00","3,316.00","3,328.00",-27,-0.8,"1,245,700"
"""2023/11/9""","3,340.00","3,393.00","3,330.00","3,345.00",17,0.5,"1,330,900"
"""2023/11/10""","3,352.00","3,374.00","3,326.00","3,337.00",-8,-0.2,"1,102,400"
"""2023/11/11""","3,328.00","3,370.00","3,328.00","3,351.00",14,0.4,"1,113,700"
"""2023/11/12""","3,364.00","3,414.00","3,345.00","3,414.00",63,1.9,"1,174,900"
"""2023/11/13""","3,400.00","3,419.00","3,376.00","3,417.00",3,0.1,"1,097,500"
"""2023/11/14""","3,424.00","3,470.00","3,390.00","3,469.00",52,1.5,"1,069,800"
"""2023/11/15""","3,480.00","3,497.00","3,464.00","3,479.00",10,0.3,"787,400"
"""2023/11/16""","3,528.00","3,529.00","3,497.00","3,510.00",31,0.9,"1,044,800"
"""2023/11/17""","3,514.00","3,524.00","3,446.00","3,452.00",-58,-1.7,"923,800"
"""2023/11/18""","3,457.00","3,468.00","3,446.00","3,457.00",5,0.1,"699,500"
"""2023/11/19""","3,446.00","3,452.00","3,383.00","3,394.00",-63,-1.8,"1,016,500"
"""2023/11/20""","3,374.00","3,425.00","3,353.00","3,423.00",29,0.9,"1,353,500"
"""2023/11/21""","3,439.00","3,440.00","3,393.00","3,408.00",-15,-0.4,"544,500"
"""2023/11/22""","3,383.00","3,392.00","3,360.00","3,387.00",-21,-0.6,"598,000"
"""2023/11/23""","3,375.00","3,391.00","3,365.00","3,386.00",-1,0,"699,900"
"""2023/11/24""","3,385.00","3,424.00","3,376.00","3,419.00",33,1,"733,300"
"""2023/11/25""","3,396.00","3,399.00","3,358.00","3,363.00",-56,-1.6,"851,800"
"""2023/11/26""","3,382.00","3,389.00","3,360.00","3,389.00",26,0.8,"1,014,700"
"""2023/11/27""","3,415.00","3,415.00","3,381.00","3,410.00",21,0.6,"610,300"
"""2023/11/28""","3,422.00","3,427.00","3,403.00","3,414.00",4,0.1,"558,400"
"""2023/11/29""","3,409.00","3,411.00","3,366.00","3,389.00",-25,-0.7,"626,600"
"""2023/11/30""","3,397.00","3,403.00","3,356.00","3,397.00",8,0.2,"798,200"
"""2023/11/31""","3,353.00","3,360.00","3,282.00","3,302.00",-95,-2.8,"1,801,600"
"""2023/11/32""","3,290.00","3,301.00","3,261.00","3,263.00",-39,-1.2,"1,011,100"
"""2023/11/33""","3,271.00","3,285.00","3,247.00","3,274.00",11,0.3,"1,032,000"
"""2023/11/34""","3,280.00","3,313.00","3,277.00","3,308.00",34,1,"849,800"
"""2023/11/35""","3,285.00","3,290.00","3,258.00","3,260.00",-48,-1.5,"869,700"
"""2023/11/36""","3,265.00","3,300.00","3,265.00","3,292.00",32,1,"476,600"
"""2023/11/37""","3,334.00","3,334.00","3,302.00","3,308.00",16,0.5,"411,100"
"""2023/11/38""","3,310.00","3,314.00","3,287.00","3,305.00",-3,-0.1,"451,500"
"""2023/11/39""","3,306.00","3,339.00","3,306.00","3,336.00",31,0.9,"551,600"
"""2023/11/40""","3,329.00","3,346.00","3,323.00","3,344.00",8,0.2,"467,500"
"""2023/11/41""","3,348.00","3,360.00","3,328.00","3,349.00",5,0.1,"583,400"
"""2023/11/42""","3,375.00","3,418.00","3,335.00","3,414.00",65,1.9,"836,000"
"""2023/11/43""","3,440.00","3,449.00","3,420.00","3,431.00",17,0.5,"619,300"
"""2023/11/44""","3,434.00","3,462.00","3,429.00","3,455.00",24,0.7,"701,000"
"""2023/11/45""","3,461.00","3,514.00","3,461.00","3,506.00",51,1.5,"731,800"
