Afghanistan,India,56.5
Afghanistan,Pakistan,29.6
Albania,Italy,53.4
Albania,Kosovo,7.7
Albania,Spain,5.6
Albania,Greece,4.2
Algeria,Italy,17.4
Algeria,Spain,13
Algeria,France,11.9
Algeria,US,9.4
Algeria,Brazil,6.2
Algeria,Netherlands,5.5
American Samoa,Australia,25
American Samoa,Ghana,19
American Samoa,Indonesia,15.6
American Samoa,Burma,10.4
American Samoa,Portugal,5.1
Angola,China,61.2
Angola,India,13
Angola,US,4.2
Antigua and Barbuda,Poland,62.2
Antigua and Barbuda,Cameroon,9.5
Antigua and Barbuda,US,5.1
Antigua and Barbuda,UK,4.5
Argentina,Brazil,16.1
Argentina,US,7.9
Argentina,China,7.5
Argentina,Chile,4.4
Armenia,Russia,24.2
Armenia,Bulgaria,12.8
Armenia,Switzerland,12
Armenia,Georgia,6.9
Armenia,Germany,5.9
Armenia,China,5.5
Armenia,Iraq,5.4
Armenia,UAE,4.6
Armenia,Netherlands,4.1
Aruba,US,20.2
Aruba,Colombia,17.6
Aruba,Venezuela,13
Aruba,Netherlands,9.1
Aruba,Thailand,8.4
Aruba,Panama,4.8
Australia,China,33.5
Australia,Japan,14.6
Australia,South Korea,6.6
Australia,India,5
Australia,Hong Kong,4
Austria,Germany,29.4
Austria,US,6.3
Austria,Italy,6.2
Austria,Switzerland,5.1
Austria,France,4.8
Austria,Slovakia,4.8
Azerbaijan,Italy,23.2
Azerbaijan,Turkey,13.6
Azerbaijan,Israel,6.1
Azerbaijan,Russia,5.4
Azerbaijan,Germany,5
Azerbaijan,Czech Republic,4.6
Azerbaijan,Georgia,4.3
The Bahamas,US,63.9
The Bahamas,Namibia,19.3
Bahrain,UAE,19.6
Bahrain,Saudi Arabia,11.7
Bahrain,US,10.8
Bahrain,Oman,8.1
Bahrain,China,6.5
Bahrain,Qatar,5.7
Bahrain,Japan,4.2
Bangladesh,Germany,12.9
Bangladesh,US,12.2
Bangladesh,UK,8.7
Bangladesh,Spain,5.3
Bangladesh,France,5.1
Bangladesh,Italy,4.1
Barbados,US,38
Barbados,Trinidad and Tobago,10.2
Barbados,Guyana,5.5
Barbados,Jamaica,5
Barbados,China,4.8
Barbados,St. Lucia,4.6
Belarus,Russia,43.9
Belarus,Ukraine,11.5
Belarus,UK,8.2
Belgium,Germany,16.6
Belgium,France,14.9
Belgium,Netherlands,12
Belgium,UK,8.4
Belgium,Italy,4.9
Belgium,US,4.8
Belize,UK,33.9
Belize,US,22
Belize,Jamaica,6.7
Belize,Italy,6.4
Belize,Barbados,5.9
Belize,Ireland,5.5
Belize,Netherlands,4.3
Benin,Bangladesh,18.1
Benin,India,10.7
Benin,Ukraine,9
Benin,Niger,8.1
Benin,China,7.7
Benin,Nigeria,7.2
Benin,Turkey,4
Bermuda,Jamaica,49.1
Bermuda,Luxembourg,36.1
Bermuda,US,4.9
Bhutan,India,95.3
Bolivia,Brazil,17.9
Bolivia,Argentina,16
Bolivia,US,7.8
Bolivia,Japan,7.3
Bolivia,India,6.6
Bolivia,South Korea,6.3
Bolivia,Colombia,5.8
Bolivia,China,5.1
Bolivia,UAE,4.7
Bosnia and Herzegovina,Germany,14.7
Bosnia and Herzegovina,Croatia,11.8
Bosnia and Herzegovina,Italy,11.1
Bosnia and Herzegovina,Serbia,10
Bosnia and Herzegovina,Slovenia,9
Bosnia and Herzegovina,Austria,8.3
Botswana,Belgium,20.3
Botswana,India,12.6
Botswana,UAE,12.4
Botswana,South Africa,11.9
Botswana,Singapore,8.7
Botswana,Israel,7
Botswana,Hong Kong,4.1
Botswana,Namibia,4.1
Brazil,China,21.8
Brazil,US,12.5
Brazil,Argentina,8.1
Brazil,Netherlands,4.3
Brunei,Japan,27.8
Brunei,South Korea,12.4
Brunei,Thailand,11.5
Brunei,Malaysia,11.3
Brunei,India,9.3
Brunei,Singapore,7.7
Brunei,Switzerland,5
Brunei,China,4.7
Bulgaria,Germany,13.5
Bulgaria,Italy,8.3
Bulgaria,Romania,8.2
Bulgaria,Turkey,7.7
Bulgaria,Greece,6.5
Bulgaria,Belgium,4.2
Bulgaria,France,4.1
Burkina Faso,Switzerland,44.9
Burkina Faso,India,15.6
Burkina Faso,South Africa,11.3
Burkina Faso,Cote dIvoire,4.9
Burma,China,36.5
Burma,Thailand,21.8
Burma,Japan,6.6
Burma,Singapore,6.4
Burma,India,5.9
